reviewText,incentivized_999
"Once I ordered this bra it got here extremely quick.  I was excited that is fit as expected.  One thing I did do was look at the sizing chart before I ordered and I choose one size bigger than what I normally wear and I am so glad I did or it would have been to small.  So I wore this bra for a whole day and it quickly became one of my favorites.  It's not to tight or too loose.  This sports bra is easily the best sports bra I have ever bought.  The fabric is so so soft.  I decided to work out in this bra as well and was surprised to find that it stayed put did not ride up or down.  The support it offered was very good as well with also maintaining the comfort which for me is really hard to find in a sports bra.  Most of the sports bras I own are either to tight to to uncomfortable after a short while of wearing them.  Not this one is just like it glides right over top of your own shape and holds it there.  I would recommend this sports bra to anyone who like me has trouble finding a sports bra that is comfortable and supportive.  In all honesty at the end of the day I really did not want to take it off.

I received this product at a discounted price in exchange for my Honest and Truthful Review.",1
Good quality. Works as advertised.,0
"This watch looks so much more expensive than what it is. It comes in a beautiful black gift box that doesn't even have to be wrapped because it's so pretty. The brown leather band is stylish and bends easily. The face of the watch is large and has so far shown itself to be quite the conversation starter. I didn't realize so many people collected watches. People are surprised when my wife tells them we got it on Amazon. It says it's waterproof but I haven't tested that out yet.

I received this product at a discount in exchange for my honest, unbiased review.",1
These sunglasses are such a great buy I love them! They are a little stiff when you get them but once you adjust them to your liking they are super comfortable. They look super dark since they are polarized but not too dark that you can't see while in the sun. I have purchased other inexpensive sunglasses from other places and was disappointed because I couldn't see at all due to the darkness. With these there is no issue. They have a nice mirror effect which is what everyone has right now when it comes to sunglasses. I had my doubts if they were going to have the mirror effect due to the pic in the description but I am so glad I was wrong and got them anyway. They are good size for a medium sized face frame and are not too big or too small. They are just the right size. As soon as I received them I took them out and wore them out and got a compliment within a couple of hours. Recommended them to look for Joopin on Amazon and take advantage of this great deal. These are stylish enough to wear everyday and inexpensive that you don't feel guilty in case they break. Can't wait to get another pair in a different shade. They come with an awesome bulky case for good protection or a simple cloth bag as well as a small cleaning cloth. It is a great deal for the price. I received this item at a discount in exchange for my honest review.,1
"Nice and comphy, I always buy Gildan if possible!",0
"I was really anxious to receive this ""dress"" but as soon as I opened the package I realized it would be better suited as a t shirt with some type of pants, leggings or tights underneath. The shirt is very comfortable and cute, just not long enough to wear as a dress. It is also very thin. In the picture the color seems to fade at the bottom but I was a little disappointed to find out that was only the lighting. It's still a very pretty color though. I would recommend this product for petite women to wear as a dress, but taller, curvy women would only find this suitable as a t shirt. Either way, I like it.
I received this product at a discount in exchange for a fair, honest and unbiased review.",1
"These are perfect for helping keep birds off my roof.

They are nice and neat and discreet when fitted and really flexible.  If you need them to go round cures then these will.  They are really easy to fit and the supplied silicone is just enough to fit the pack.  If you do need them to curve you will need alternative fittings.

So far they have worked and I will be getting more in the future to protect other parts of my house.

I was lucky enough to receive my sample at a discount in exchange for an honest review.",1
"My stainless compost pail arrived promptly and I put it to use right away. It is perfect, I love the size, and quite the improvement over the bowl I was using! Looks amazing on my countertop. Easy to use and carry out to my (I'm so proud to say) my compost pile!",0
"My Son says he loves the socks. He's in the Army  in Colorado and has to deal with in a pretty extreme cold weather , being in the field for a week at a time.  He says that Hesse socks really help to keep his feet dry and as warm as the can be when out in the cold. I would definitely recommend me talk to anybody who has to be outside and get their feet wet my fission well wearing socks.
DISCLOSURE: I was given the opportunity to review this product and received it discounted/free for my honest and unbiased opinion. I am not an affiliate of the manufacturer, seller, or Amazon; and I do not receive any monetary compensation for reviewing this item. I understand the importance of honest customer feedback because I rely a great deal on customer reviews myself. The integrity of each product review I write is based on my own personal feelings and/or opinions and not anyone elses. I hope what I have shared and described above from my own experience has helped you with your buying options. If you find this review helpful please select yes below. Thank you.",1
"very large, perfect for all possible sizes of pizza!",0
"Powerlead sent me a sample of this product at reduced or no cost - they were promised my honest opinion in return, and here it is. After using this camera side-by-side with an SJCam SJ4000, a GoPro Hero+ and another off-brand SJ4000 clone, I've come to the conclusion that the PowerLead PC6 has the worst quality of the lot. Now I will grant you that the GoPro is more expensive, and predictably it does have the best quality. That said, the SJ4000 and its clone were less than $100, and the clone was only $6 more expensive than the PC6.

Re-reading the reviews on this page leaves me wondering whether I got a dud or not, because some people seem to be quite pleased with it. I, however, simply cannot get past the poor quality. I don't care so much about the lack of controls, archaic settings control and the fact that this ""waterproof"" sports camera is one small rubber sealing ring away from being a strangely-shaped paper weight...but the quality, that's a completely different story.

I will post a video early next week with sample footage so you can see for yourself, but overall I'm not impressed with this camera. It has very few things going for it (the price, its small footprint) and a lot that I take issue with. As of right now, I can't really recommend it at all. Besides, all of the one-hit wonder reviewers on the front page are doing enough recommending already...",1
"I wear mostly wear these types of pants when I am at home or exercising. And like most people, I can always use more! The delivery was very quick and the packaging was perfect. The material is very high quality..great stretch and soft on the skin. No the weird soft that seems to get snagged on everything. I love the length, especially since warmer weather is finally here. I normally like to wear my pants below my naval and from what I could see on the picture on Amazon, I figured I was safe with these. However, these sit VERY low. There is no room to ""hike"" them up to compensate either. I ordered the correct size, just the style is different than I am use too. I decided to keep them and I am happy I did. When I wear them to exercise in, I just make sure my shirt is plenty long enough to cover everything and I am good to go. There is zero chaffing with these...and the mesh insert really does help with the heat and moisture. I would certainly recommend the seller and the pants. I did receive this item at a discount in return for my honest review. I was not guided on what to write in this review nor was I compenstaed in any form. 100% HONEST.",1
I love it! Cute and comfortable!,0
"I needed a nice hat for myself for this hot summer we are having.  This hat fit great, is super cute, and works great in giving me protection for days at the zoo, trips to the park or beach, or just to wear for a super cute look! I love the design, and it fit my head like a glove. The material is nice and soft, and the lining makes it bearable to wear a hat on very hot summer days. I would recommend this item for sure. I received this item at a discount for my honest and unbiased opinon.",1
"This case has some pros and some cons. What I don't like about the case is the stand is removable and does not snap tight to the ipad. It is very lose and falls off easily. It also has little rubber feet on it that will not stay on for anything. This is especially annoying when my kids put the ipad on the table and move it. The feet without the rubber on them make a horrible noise. It does not affect the actual usage though. I also do not like that the screen cover is not the greatest. When you look at it, you can see scratches all over it and those scratches came on it, it's nothing my kids put there. I noticed them when I removed the protective cover before placing it on the ipad. My kids will put their own scratches in it so it is not a huge deal to me. You also have to move a piece of case, rubber, that is snapped into place to use the camera. It is difficult for my young kids to do that however I can use it just fine.

What I do love about this case is that the ipad is very secure in it. It snaps on easily and stays on. My 1 1/2 year old has gotten her hands on my ipad and thrown it and it does absolutely no harm to the ipad, which is what is most important to me in a case. It does make the ipad a little on the heavy side but that is not a problem for me. My kids can all still use it just fine so I don't think that is an issue.

I received this product at a discounted rate in exchange for my honest review.",1
"Broke within to weeks, bought one with a better spring clip and had no issue",0
Easy to install...able to set volume...perfect!,0
"I freaking love these headphones!!! I use them mostly when I'm relaxing or when I go to bed. I used to have the ones with the Big b price tag and these ones for way less perform better and I can even use them to take or make phone calls, fast forward and go to last track. I have both; Android and Apple phones and both connected fast with the bluetooth but one feature stands out for you guys with Android phones you can connect them with NFC!!! Also included are the AUX cable so if you want to connect them to a non bluetooth device. The headphones rotate so you can hear it while wearing them around the neck. They look well constructed and really nice looking. I already used them for a couple of days (about 36hrs) and so far still working on the first charge!!! Phone calls are clear and people I talk to says the same. I received this product for free or at a discount. I was in no way obligated to give this a favorable review. My reviews are my honest and unbiased opinion after use of the products good or bad. If you found my review helpful please click yes below and thanks in advance!

**UPDATE**
IF you're spending money on other headphones because of the brand then you're fooling yourself and trowing money away just because!!! These headphones should be marketed more, from personal experience with them I highly recommend them! Try them out and if they're not what I'm telling you return them, you can't loose so why not try them out????",1
"This is seriously the best Pet nail grooming kit I have ever seen! I have 4 cats so having to take all of them to get their nails trimmed can be such a hassle, plus expensive! Just one cat to get their nails trimmed is 15 dollars! I love how there are so many options in this pet nail grooming kit to cut your pet's nails! You have the pet grinder to grind away some of those sharp claws that get you on accident when you are sleeping and you move your feet in the middle of the night! Plus it comes with a nail clipper and a file if you need to file down the nails by hand! I love that the nail grinder and clipper have ports and sizes where you can change the amount you want to cut and you will never cut your pet's nails too short! I absolutely love that feature because I am not a cat groomer, I am a nursing student who just wants to keep my cat's nails short so they don't get caught on anything when they are walking or playing around or even on me! I am sure everyone can relate when they say they are kind of scared to trim their own pet's nails because you don't want to cut them too short but these products seriously change your life because they make sure you won't cut them too short! These products save me time, money, and keep my cat's happy because I get to cut their nails from my home!
Disclaimer: I received this product for free or at a discounted price in exchange for my honest and unbiased review but I honestly really love all of these products and they work amazing! The grinder is so quiet you can barely here it and I first tested it out on my own nails and it worked amazing!  Plus the grinder comes with batteries, just remove the plastic and install them in and your all set! Also my cats weren't afraid of it so that was another plus! If you need pet clippers or a pet grinder this is the pet nail grooming kit you need in your life!",1
"Quality made umbrella, lives up to claim. My only complaint is how hard it is to close. It keeps me dry, but the inside of my car door gets wet cause it's so hard to close.",0
"Great! Lifetime warranty comes in handy, too!",0
"I received this magnetic car vent cell phone holder on time and in a nice packaging.  Unlike other products, it has good flexibility to turn around and can be easily adjusted to face you at the angle that you want.  The magnet disk is mounted on an sphere base which allow it to rotate 60 degrees in one direction and 360 degrees in another, hence giving the flexibility of adjustment.  It comes with two metal plates (one circular and the other one rectangular) that can be put between on back of your phone covered by the phone case.  Please see attached pictures.  The magnetic holder can be inserted into the vent of can and the magnet is strong enough to keep my iPhone 6 plus in place.  It looks nice and seems to be made of good quality material.  I received this item at discount for review.  I am happy with the purchase and would recommend it to family and friends.  It make a nice gift as well.",1
"<div id=""video-block-RCTZ0Y1H9GYTH"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91pTuTfK6NS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/71z9yf9yQ5S.png"" class=""video-slate-img-url"">&nbsp;I am in love with this 10"" Green Earth Frying Pan by Ozeri.  I have been using it a little over a month and it hasn't let me down at all.  I can easily say that I have used it at least 40 - 50 times and I have not had a problem with anything sticking. Today I have used it 3 times.  I made pancakes this morning, grilled cheese for lunch for the kiddo and then I reheated some chicken wings (threw in a pat of butter and re-fried my wings then threw on some hot sauce and let it cook down).  I added a video showing my pan after I cooked the wings and let it cool down.  I just ran hot water over the dirty pan and it rinsed out.  I always let my pan cool off before cleaning it with hot water and some dawn soap.
My standard cooking oil is coconut oil and I use it every time I cook in this pan.  Coconut oil is a healthy oil and about 40 calories for a teaspoon. I usually use 1/3 -1/2 tsp. The pan is made very well and and comes in at 35 ounces so it's not overly heavy.  The handle is very comfortable to hold and is balanced nicely.  It also comes with a little sheet with a lot of useful information.  You can put your pan in the oven but not in an excessive hot oven.  Don't put cold water in your hot pan overtime it may crack. Also, don't use sharp objects in your pan as you may scratch it.
Overall, I love this pan.  I have plans to purchase additional pans and possibly a lid.
DISCLAIMER:
A sample of this product was provided to me free or deeply discounted for reviewing purposes. I am not affiliated with this company and make no promises of a good rating while reviewing the product. I test the product thoroughly and do my best to provide detailed reviews to other Amazon customers so they may make informed decisions.",1
"<div id=""video-block-RCJ986MDXCOIE"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/C1HBs7r%2BQnS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/81bCI-Nn-7S.png"" class=""video-slate-img-url"">&nbsp;Highlights of my Video Review:

1.  Strong and Sturdy
2.  Pretty easy to put together - recommend a rubber mallet
3.  Strong shelves
4.  Clothes bar hangs, so easily moved.

I received a free product in order to provide my fair and honest review.  If there are any questions, please feel free to leave me comments below and I will do my best to answer them.  Thank you!",1
"I Love this shirt, The fabric is very soft and flowing. It is weightless and just drapes perfectly. I think I am going to have to order this in several other colors! The v-neck is very nice! I received this case for free or at a discount for my HONEST review! I do not believe in anything but honest reviews!

 - I love this product. it meets or exceeds my expectations and is great quality. I would recommend this to anyone.
 - I like this product but its is not perfect. The quality is good and is as described, but it could use some improvements. I would recommend this to friends and family.
 - This product is okay but it could be better. The quality is acceptable but it could use some improvements to make it better. I would recommend this to friends and family but advise of my thoughts about quality.
 - This product did not impress me at all. It either does not work as described, is of poor quality, or is just not what I was expecting it to be. It might be okay for some people who are just looking for something cheaply made or inexpensive to purchase.
 - I do not like this product. It is either very poor quality, a waste of time and money, or did not arrive in a timely manner. I would not recommend this product to anyone as it does not meet the quality standards of anyone and should be removed from amazon.

I have received this product at a discount or for free for my honest review. I believe that every person may have a different experience with a product and maybe someone could benefit from my honest review. I will not give out 5 starts for a product just because I got it for free or for cheap.",1
"I bought this to replace a Ryobi blower that had too many issues. I chose it due to the 7 year warranty and the price. I've had it for three years. It is high quality, starts on the first or second pull, and very powerful. I can clean off the back porch when it is idling. I've always put ethanol free gas in it. Very satisfied.",0
Item as described. Beautiful vivid colors. Good quality.,0
"perfect fit, easy install.",0
"My Raspberry pi 3 is using this to run Raspbian, which boots and launches my python scripts within 9 seconds.",0
